user_id,session_id,timestamp,event_type,page,device,browser,country
U1,S1,2026-04-02 08:17:00,click,search,mobile,Chrome,Spain
U1,S1,2026-04-02 08:20:46,page_view,home,mobile,Firefox,France
U1,S1,2026-04-02 08:25:14,add_to_cart,home,tablet,Firefox,Italy
U1,S1,2026-04-02 08:27:16,search,checkout,desktop,Chrome,France
U1,S1,2026-04-02 08:31:02,scroll,product,mobile,Firefox,Germany
U1,S2,2026-04-02 21:23:00,scroll,help,desktop,Safari,Spain
U1,S2,2026-04-02 21:27:05,add_to_cart,home,desktop,Chrome,Germany
U1,S2,2026-04-02 21:30:20,add_to_cart,search,tablet,Chrome,Spain
U1,S2,2026-04-02 21:32:26,scroll,home,mobile,Chrome,Italy
U1,S2,2026-04-02 21:34:58,search,profile,desktop,Firefox,Germany
U1,S2,2026-04-02 21:38:09,click,profile,desktop,Chrome,France
U1,S3,2026-04-03 03:52:00,search,product,tablet,Firefox,Germany
U1,S3,2026-04-03 03:52:38,click,help,mobile,Safari,Italy
U1,S3,2026-04-03 03:55:05,page_view,search,tablet,Safari,France
U1,S3,2026-04-03 03:59:30,search,profile,desktop,Firefox,Germany
U1,S3,2026-04-03 04:00:51,click,profile,tablet,Safari,Italy
U1,S3,2026-04-03 04:04:25,scroll,search,mobile,Edge,Spain
U1,S3,2026-04-03 04:04:59,page_view,search,tablet,Firefox,Italy
U1,S3,2026-04-03 04:05:41,search,cart,tablet,Edge,Germany
U2,S4,2026-04-02 08:07:00,purchase,checkout,desktop,Safari,Spain
U2,S4,2026-04-02 08:09:40,search,search,desktop,Chrome,Germany
U2,S4,2026-04-02 08:14:06,click,checkout,mobile,Safari,France
U2,S4,2026-04-02 08:15:34,scroll,help,mobile,Chrome,Germany
U2,S4,2026-04-02 08:19:54,page_view,home,desktop,Safari,France
U2,S4,2026-04-02 08:20:33,click,checkout,mobile,Chrome,Italy
U2,S4,2026-04-02 08:21:18,add_to_cart,help,mobile,Firefox,Italy
U2,S4,2026-04-02 08:26:09,click,product,tablet,Edge,France
U2,S4,2026-04-02 08:30:55,purchase,profile,mobile,Safari,Italy
U2,S4,2026-04-02 08:34:16,search,checkout,desktop,Chrome,France
U2,S4,2026-04-02 08:36:21,page_view,product,mobile,Firefox,France
U2,S4,2026-04-02 08:36:34,page_view,profile,tablet,Chrome,France
U2,S4,2026-04-02 08:37:18,page_view,help,desktop,Chrome,France
U2,S4,2026-04-02 08:39:50,purchase,cart,mobile,Firefox,Italy
U2,S4,2026-04-02 08:42:04,search,help,desktop,Firefox,Spain
U2,S5,2026-04-02 22:29:00,search,cart,desktop,Chrome,Spain
U2,S5,2026-04-02 22:29:41,search,profile,desktop,Chrome,France
U2,S5,2026-04-02 22:31:29,click,checkout,desktop,Firefox,Italy
U2,S5,2026-04-02 22:33:12,scroll,cart,mobile,Chrome,Italy
U2,S5,2026-04-02 22:38:03,page_view,home,tablet,Chrome,Spain
U2,S5,2026-04-02 22:40:14,click,cart,desktop,Edge,France
U2,S5,2026-04-02 22:43:49,page_view,search,desktop,Chrome,Italy
U2,S5,2026-04-02 22:46:14,search,product,desktop,Edge,France
U2,S5,2026-04-02 22:48:01,scroll,search,mobile,Chrome,Germany
U2,S5,2026-04-02 22:48:40,page_view,checkout,desktop,Firefox,Spain
U2,S5,2026-04-02 22:53:10,page_view,help,mobile,Chrome,Spain
U2,S5,2026-04-02 22:55:20,search,home,tablet,Firefox,Spain
U2,S5,2026-04-02 22:56:11,search,profile,tablet,Safari,Germany
U2,S5,2026-04-02 22:58:05,purchase,profile,desktop,Firefox,Germany
U2,S5,2026-04-02 23:01:37,click,profile,tablet,Safari,Italy
U2,S6,2026-04-02 23:58:00,add_to_cart,checkout,mobile,Chrome,France
U2,S6,2026-04-03 00:02:29,scroll,search,desktop,Chrome,France
U2,S6,2026-04-03 00:05:48,scroll,search,desktop,Safari,Spain
U2,S6,2026-04-03 00:10:41,scroll,profile,mobile,Firefox,Germany
U2,S6,2026-04-03 00:11:50,page_view,profile,tablet,Firefox,Germany
U2,S6,2026-04-03 00:14:24,add_to_cart,search,tablet,Safari,France
U3,S7,2026-04-01 10:05:00,purchase,cart,desktop,Chrome,Spain
U3,S7,2026-04-01 10:08:00,click,profile,desktop,Firefox,Italy
U3,S7,2026-04-01 10:12:52,purchase,cart,tablet,Chrome,Spain
U3,S7,2026-04-01 10:13:40,purchase,search,tablet,Chrome,Germany
U3,S7,2026-04-01 10:18:32,click,cart,mobile,Chrome,Germany
U3,S7,2026-04-01 10:21:48,page_view,product,mobile,Firefox,Spain
U3,S7,2026-04-01 10:24:59,add_to_cart,help,desktop,Firefox,France
U3,S7,2026-04-01 10:26:32,click,cart,mobile,Firefox,Germany
U3,S7,2026-04-01 10:30:12,purchase,help,tablet,Firefox,Germany
U3,S8,2026-04-02 00:00:00,page_view,help,desktop,Firefox,France
U3,S8,2026-04-02 00:04:05,scroll,product,mobile,Firefox,Spain
U3,S8,2026-04-02 00:05:53,search,product,desktop,Chrome,Germany
U3,S8,2026-04-02 00:09:02,purchase,checkout,desktop,Safari,Spain
U3,S8,2026-04-02 00:10:11,scroll,search,tablet,Safari,Spain
U3,S8,2026-04-02 00:11:16,add_to_cart,cart,desktop,Safari,Italy
U3,S9,2026-04-02 13:57:00,add_to_cart,search,desktop,Chrome,Italy
U3,S9,2026-04-02 13:57:10,add_to_cart,help,tablet,Firefox,Germany
U3,S9,2026-04-02 14:01:00,page_view,profile,desktop,Safari,Spain
U3,S9,2026-04-02 14:03:43,add_to_cart,product,tablet,Edge,Germany
U3,S9,2026-04-02 14:07:19,purchase,product,tablet,Firefox,France
U3,S9,2026-04-02 14:11:04,purchase,cart,tablet,Firefox,Germany
U3,S10,2026-04-02 15:16:00,scroll,search,desktop,Safari,Italy
U3,S10,2026-04-02 15:19:56,search,profile,mobile,Edge,France
U3,S10,2026-04-02 15:20:49,scroll,checkout,tablet,Safari,Spain
U3,S10,2026-04-02 15:22:59,purchase,product,mobile,Firefox,France
U3,S10,2026-04-02 15:23:21,page_view,search,desktop,Chrome,Italy
U3,S10,2026-04-02 15:27:03,purchase,checkout,mobile,Edge,Italy
U3,S10,2026-04-02 15:30:37,click,search,tablet,Chrome,Spain
U3,S10,2026-04-02 15:34:24,click,search,tablet,Edge,Spain
U3,S10,2026-04-02 15:39:19,click,help,mobile,Edge,France
U3,S10,2026-04-02 15:43:26,purchase,checkout,tablet,Safari,Italy
U3,S10,2026-04-02 15:47:54,search,help,tablet,Edge,France
U3,S10,2026-04-02 15:52:07,search,product,mobile,Safari,Italy
U3,S10,2026-04-02 15:54:19,scroll,cart,mobile,Safari,France
U3,S11,2026-04-03 03:13:00,add_to_cart,home,mobile,Firefox,France
U3,S11,2026-04-03 03:16:26,purchase,search,tablet,Firefox,Spain
U3,S11,2026-04-03 03:20:08,search,product,tablet,Edge,Italy
U3,S11,2026-04-03 03:20:49,click,help,desktop,Edge,Spain
U3,S11,2026-04-03 03:24:13,search,home,desktop,Safari,Italy
U3,S11,2026-04-03 03:27:57,add_to_cart,profile,tablet,Firefox,Italy
U3,S11,2026-04-03 03:29:59,scroll,cart,desktop,Chrome,Italy
U3,S11,2026-04-03 03:33:01,purchase,profile,desktop,Firefox,Italy
U3,S11,2026-04-03 03:34:16,add_to_cart,checkout,mobile,Edge,Spain
U3,S11,2026-04-03 03:35:08,purchase,cart,mobile,Edge,France
U3,S12,2026-04-03 16:33:00,click,cart,desktop,Safari,Italy
U3,S12,2026-04-03 16:35:32,search,product,mobile,Edge,Spain
U3,S12,2026-04-03 16:40:18,page_view,product,mobile,Chrome,Spain
U3,S12,2026-04-03 16:40:43,click,search,mobile,Firefox,France
U3,S12,2026-04-03 16:41:57,search,profile,mobile,Firefox,Italy
U3,S12,2026-04-03 16:44:18,scroll,search,tablet,Chrome,France
U3,S12,2026-04-03 16:47:07,page_view,checkout,mobile,Safari,Italy
U3,S12,2026-04-03 16:50:40,purchase,search,mobile,Firefox,Spain
U3,S12,2026-04-03 16:53:24,purchase,checkout,mobile,Chrome,Germany
U4,S13,2026-04-01 20:04:00,add_to_cart,profile,desktop,Chrome,Italy
U4,S13,2026-04-01 20:08:20,page_view,cart,desktop,Edge,France
U4,S13,2026-04-01 20:12:12,click,profile,tablet,Safari,Italy
U4,S13,2026-04-01 20:16:20,search,help,tablet,Safari,Germany
U4,S13,2026-04-01 20:18:35,page_view,product,desktop,Firefox,Italy
U4,S13,2026-04-01 20:21:59,scroll,home,desktop,Safari,France
U4,S13,2026-04-01 20:26:18,click,product,desktop,Safari,Germany
U4,S13,2026-04-01 20:28:49,add_to_cart,home,tablet,Firefox,Spain
U4,S13,2026-04-01 20:31:02,purchase,cart,desktop,Firefox,Italy
U4,S13,2026-04-01 20:35:23,search,help,mobile,Chrome,Germany
U4,S13,2026-04-01 20:37:26,search,profile,mobile,Safari,Germany
U4,S13,2026-04-01 20:41:38,add_to_cart,checkout,desktop,Edge,Germany
U4,S13,2026-04-01 20:44:48,purchase,cart,desktop,Safari,Germany
U4,S13,2026-04-01 20:46:56,page_view,profile,mobile,Safari,Spain
U4,S13,2026-04-01 20:51:40,purchase,search,mobile,Firefox,Italy
U4,S14,2026-04-02 13:42:00,scroll,home,mobile,Safari,France
U4,S14,2026-04-02 13:45:14,click,product,mobile,Firefox,Germany
U4,S14,2026-04-02 13:45:47,page_view,checkout,desktop,Firefox,Italy
U4,S14,2026-04-02 13:46:49,page_view,checkout,desktop,Edge,Italy
U4,S14,2026-04-02 13:50:44,scroll,search,mobile,Safari,Italy
U4,S14,2026-04-02 13:51:52,page_view,cart,desktop,Chrome,Spain
U4,S14,2026-04-02 13:53:19,click,help,tablet,Safari,Spain
U4,S14,2026-04-02 13:55:36,page_view,checkout,desktop,Firefox,Italy
U4,S14,2026-04-02 13:59:36,search,product,tablet,Edge,Germany
U4,S14,2026-04-02 14:00:16,add_to_cart,profile,mobile,Firefox,France
U4,S14,2026-04-02 14:02:41,purchase,home,mobile,Firefox,France
U4,S14,2026-04-02 14:07:33,page_view,search,mobile,Edge,Italy
U4,S14,2026-04-02 14:11:43,scroll,home,mobile,Safari,Germany
U4,S14,2026-04-02 14:15:45,page_view,profile,mobile,Safari,France
U4,S15,2026-04-03 07:56:00,purchase,search,desktop,Firefox,Spain
U4,S15,2026-04-03 07:56:40,click,help,desktop,Safari,Italy
U4,S15,2026-04-03 07:57:53,search,profile,desktop,Edge,Germany
U4,S15,2026-04-03 08:02:19,add_to_cart,cart,desktop,Chrome,Spain
U4,S15,2026-04-03 08:06:10,purchase,product,tablet,Safari,Spain
